id_ticket,fecha,canal,plan_cliente,antiguedad_meses,asunto,mensaje,categoria,prioridad,sentimiento,minutos_primera_respuesta,resuelto
TCK-0015,2026-04-14T17:51,formulario,free,6,La app móvil se cierra al abrir un proyecto,La aplicación móvil se cierra sola al abrir cualquier proyecto. La he reinstalado y sigue igual. Sin prisa.,bug_producto,alta,negativo,43,True
TCK-0016,2026-01-20T19:38,formulario,pro,39,Error 500 al guardar un informe,"Al pulsar Guardar en un informe me devuelve un error 500. Pasa siempre, en Chrome y en Firefox. El identificador de la petición es req_934294096.",bug_producto,alta,negativo,54,False
TCK-0017,2026-02-14T19:44,email,pro,30,La app móvil se cierra al abrir un proyecto,La aplicación móvil se cierra sola al abrir cualquier proyecto. La he reinstalado y sigue igual. Tenemos una auditoría en curso y esto es crítico.,bug_producto,alta,negativo,71,True
TCK-0018,2026-01-17T13:47,email,pro,19,Sugerencia: alertas por Slack,"Sería genial recibir las alertas en Slack además de por correo. ¿Está en la hoja de ruta? Quedo atento, un saludo.",solicitud_funcionalidad,media,neutro,315,True
TCK-0019,2026-07-26T10:47,formulario,free,55,La app móvil se cierra al abrir un proyecto,La aplicación móvil se cierra sola al abrir cualquier proyecto. La he reinstalado y sigue igual.,bug_producto,media,neutro,344,True
TCK-0020,2026-03-23T14:26,email,business,36,No puedo entrar en mi cuenta,"Desde ayer no consigo iniciar sesión con sofia@nimbus.example. Me dice credenciales incorrectas y el enlace de recuperación no llega ni a la bandeja de spam. Quedo atento, un saludo.",acceso_cuenta,media,neutro,467,False
TCK-0021,2026-04-20T01:02,chat,free,55,Las consultas tardan más de un minuto,"Las consultas que antes iban en segundos ahora superan el minuto de forma sistemática, sobre todo sobre rangos de fechas amplios. Quedo atento, un saludo.",rendimiento,media,positivo,243,True
TCK-0022,2026-07-26T20:21,chat,business,23,Falta filtrar por etiquetas,Echamos de menos poder filtrar el listado por etiquetas; ahora hay que buscar a mano entre cientos de elementos. Gracias de antemano.,solicitud_funcionalidad,baja,neutro,161,False
TCK-0023,2026-03-18T11:55,formulario,pro,43,La API devuelve 401 con una clave válida,La API nos devuelve 401 con una clave que generamos ayer y que sigue apareciendo como activa en el panel. Si no se resuelve hoy tendremos que valorar cancelar el contrato.,integraciones,alta,negativo,26,True
TCK-0024,2026-07-10T00:08,chat,pro,27,Timeouts constantes en el panel,El panel tarda muchísimo en cargar y a menudo acaba en timeout. Ocurre sobre todo a primera hora de la mañana. Sin prisa.,rendimiento,alta,neutro,62,True
TCK-0025,2026-04-25T21:50,email,pro,24,Los gráficos no cargan en el panel,El panel principal se queda en blanco y la consola del navegador muestra un error de JavaScript. Afecta a 12 usuarios de mi equipo. Gracias de antemano.,bug_producto,critica,negativo,13,True
TCK-0026,2026-05-09T14:05,chat,free,44,¿Podéis añadir exportación a PDF?,"No es urgente, pero nos ahorraría mucho tiempo poder exportar los informes directamente a PDF sin pasar por el navegador. Es urgente, por favor. Llevamos todo el día parados.",solicitud_funcionalidad,baja,negativo,2318,True
TCK-0027,2026-01-05T20:29,email,business,52,No me llega la factura de julio,"Hola, no he recibido la factura de julio y contabilidad me la está pidiendo para cerrar el trimestre. Mi cuenta es nuria@acme.example.",facturacion,media,negativo,53,True
TCK-0028,2026-01-31T06:54,formulario,enterprise,47,Sugerencia: alertas por Slack,"Sería genial recibir las alertas en Slack además de por correo. ¿Está en la hoja de ruta? Quedo atento, un saludo.",solicitud_funcionalidad,alta,neutro,43,True
TCK-0029,2026-05-04T16:44,telefono,free,54,Necesitamos firmar un DPA,Necesitamos firmar un acuerdo de tratamiento de datos antes de renovar el contrato del plan free. ¿A quién se lo pedimos? Sin prisa.,datos_privacidad,media,positivo,428,True
TCK-0030,2026-06-08T22:05,email,business,49,Rate limit inesperado en la API,"Estamos recibiendo 429 con muy pocas peticiones por minuto, muy por debajo del límite que anuncia nuestro plan business.",integraciones,alta,negativo,19,True
TCK-0031,2026-08-01T18:23,telefono,free,41,La exportación a CSV sale vacía,La exportación a CSV descarga un fichero de 0 bytes desde la actualización de mayo. Antes funcionaba correctamente. Tenemos una auditoría en curso y esto es crítico.,bug_producto,alta,negativo,15,True
TCK-0032,2026-07-02T22:09,email,pro,56,Los gráficos no cargan en el panel,"El panel principal se queda en blanco y la consola del navegador muestra un error de JavaScript. Afecta a 25 usuarios de mi equipo. Quedo atento, un saludo.",bug_producto,media,neutro,81,True
TCK-0033,2026-04-07T18:24,email,free,47,Petición: modo oscuro,"Mucha gente del equipo trabaja de noche y agradeceríamos un modo oscuro en la interfaz. Quedo atento, un saludo.",solicitud_funcionalidad,baja,positivo,2449,True
TCK-0034,2026-07-31T14:05,email,free,53,La app móvil se cierra al abrir un proyecto,La aplicación móvil se cierra sola al abrir cualquier proyecto. La he reinstalado y sigue igual.,bug_producto,media,neutro,367,True
TCK-0035,2026-05-24T22:57,chat,free,19,El webhook deja de disparar eventos,Nuestro webhook a orbita.example dejó de recibir eventos hace 5 horas. No hemos cambiado nada del lado nuestro.,integraciones,alta,neutro,69,True
TCK-0036,2026-02-08T09:12,email,pro,20,Los gráficos no cargan en el panel,El panel principal se queda en blanco y la consola del navegador muestra un error de JavaScript. Afecta a 40 usuarios de mi equipo.,bug_producto,critica,neutro,22,True
TCK-0037,2026-06-03T16:26,telefono,free,52,Necesito la factura con el CIF de mi empresa,Necesito rehacer la factura de agosto con los datos fiscales correctos: el CIF que aparece no es el nuestro y así no la puedo deducir. Sin prisa.,facturacion,baja,positivo,317,True
TCK-0038,2026-04-29T01:01,chat,pro,2,Perdí acceso al correo de recuperación,El correo de recuperación de mi cuenta es una dirección antigua a la que ya no tengo acceso. ¿Cómo puedo recuperar la cuenta sofia@acme.example?,acceso_cuenta,baja,negativo,328,True
TCK-0039,2026-04-15T17:39,chat,pro,27,Cobro duplicado en la factura de septiembre,"Buenas, revisando el extracto veo dos cargos de 9 € el mismo día de septiembre. Solo tengo una suscripción pro. ¿Podéis devolver el duplicado? Quedo atento, un saludo.",facturacion,media,neutro,441,False
TCK-0040,2026-02-08T22:24,email,free,37,Fallo al conectar con Salesforce,Al conectar Salesforce el asistente se queda en el paso de autorización y acaba en un error genérico sin detalle. Esto nos está bloqueando la operación y tenemos un cierre mañana.,integraciones,media,neutro,44,True
TCK-0041,2026-07-13T08:07,email,free,9,Perdí acceso al correo de recuperación,El correo de recuperación de mi cuenta es una dirección antigua a la que ya no tengo acceso. ¿Cómo puedo recuperar la cuenta sofia@orbita.example?,acceso_cuenta,baja,negativo,1030,True
TCK-0042,2026-02-23T07:50,chat,business,23,La exportación a CSV sale vacía,"La exportación a CSV descarga un fichero de 0 bytes desde la actualización de marzo. Antes funcionaba correctamente. Quedo atento, un saludo.",bug_producto,alta,neutro,51,True
TCK-0043,2026-01-12T08:24,formulario,free,3,¿Tenéis descuento para ONG?,"Somos una entidad sin ánimo de lucro, ¿tenéis algún tipo de descuento sobre el plan free?",otros,media,neutro,457,True
TCK-0044,2026-03-15T10:39,email,pro,33,Me han cobrado 29 € de más,"En la última renovación se me ha cobrado 29 € por encima de lo que figura en el plan pro. Adjunto el justificante del cargo. Quedo atento, un saludo.",facturacion,media,neutro,92,True
TCK-0045,2026-01-20T09:16,email,pro,32,Sincronización con Google Sheets parada,"La sincronización con Google Sheets lleva 5 horas sin actualizar. La hoja destino sigue con los datos de antes. Quedo atento, un saludo.",integraciones,alta,negativo,86,True
TCK-0046,2026-04-12T14:20,formulario,pro,33,¿Podéis añadir exportación a PDF?,"No es urgente, pero nos ahorraría mucho tiempo poder exportar los informes directamente a PDF sin pasar por el navegador. Sin prisa.",solicitud_funcionalidad,media,positivo,305,True
TCK-0047,2026-02-05T20:04,formulario,business,6,Los informes grandes no terminan nunca,Los informes grandes ya no terminan: se quedan cargando indefinidamente y hay que cancelarlos a mano.,rendimiento,media,negativo,220,True
TCK-0048,2026-07-09T12:43,email,business,23,Necesito revocar el acceso de un empleado,Han salido dos personas del equipo y necesito revocar sus accesos hoy mismo por política interna de seguridad. Si no se resuelve hoy tendremos que valorar cancelar el contrato.,acceso_cuenta,media,negativo,286,True
TCK-0049,2026-04-17T11:29,email,pro,31,El doble factor no me envía el código,El SMS del segundo factor no llega desde hace 24 horas. Tengo una demo con un cliente y no puedo entrar en la plataforma.,acceso_cuenta,alta,negativo,70,True
TCK-0050,2026-04-17T22:48,chat,pro,20,Se pierden los cambios al recargar,"Edito un informe, guardo, y al recargar la página los cambios han desaparecido. Me ha pasado 12 veces esta semana. Si no se resuelve hoy tendremos que valorar cancelar el contrato.",bug_producto,critica,negativo,8,True
TCK-0051,2026-03-05T09:16,email,pro,5,Necesito revocar el acceso de un empleado,Han salido dos personas del equipo y necesito revocar sus accesos hoy mismo por política interna de seguridad. Esto nos está bloqueando la operación y tenemos un cierre mañana.,acceso_cuenta,critica,neutro,20,True
TCK-0052,2026-06-20T09:11,telefono,free,44,Fallo al conectar con Salesforce,Al conectar Salesforce el asistente se queda en el paso de autorización y acaba en un error genérico sin detalle. Gracias de antemano.,integraciones,media,negativo,132,True
TCK-0053,2026-02-24T05:03,email,enterprise,16,Cobro duplicado en la factura de abril,"Buenas, revisando el extracto veo dos cargos de 19 € el mismo día de abril. Solo tengo una suscripción enterprise. ¿Podéis devolver el duplicado? Tenemos una auditoría en curso y esto es crítico.",facturacion,alta,negativo,6,True
TCK-0054,2026-03-08T19:46,email,pro,44,Error 500 al guardar un informe,"Al pulsar Guardar en un informe me devuelve un error 500. Pasa siempre, en Chrome y en Firefox. El identificador de la petición es req_110877478. Si no se resuelve hoy tendremos que valorar cancelar el contrato.",bug_producto,critica,neutro,17,True
TCK-0055,2026-06-26T16:19,formulario,free,16,Nos vendría bien una API de borrado masivo,Para cumplir con nuestra política de retención de datos necesitaríamos una llamada de borrado masivo por API.,solicitud_funcionalidad,baja,neutro,1227,True
TCK-0056,2026-02-19T14:34,formulario,business,48,La plataforma va extremadamente lenta,Desde hace 12 horas cualquier consulta tarda más de un minuto. Antes eran segundos. Somos 40 personas trabajando y está parado todo el equipo.,rendimiento,alta,negativo,52,True
TCK-0057,2026-07-14T11:11,email,free,31,El webhook deja de disparar eventos,"Nuestro webhook a delta-labs.example dejó de recibir eventos hace 48 horas. No hemos cambiado nada del lado nuestro. Es urgente, por favor. Llevamos todo el día parados.",integraciones,media,neutro,278,True
TCK-0058,2026-04-25T16:43,chat,pro,26,Necesitamos firmar un DPA,Necesitamos firmar un acuerdo de tratamiento de datos antes de renovar el contrato del plan pro. ¿A quién se lo pedimos?,datos_privacidad,media,neutro,171,True
TCK-0059,2026-02-13T23:08,telefono,enterprise,41,Los informes grandes no terminan nunca,Los informes grandes ya no terminan: se quedan cargando indefinidamente y hay que cancelarlos a mano.,rendimiento,critica,negativo,14,True
TCK-0060,2026-07-25T10:14,email,pro,3,Sugerencia: alertas por Slack,Sería genial recibir las alertas en Slack además de por correo. ¿Está en la hoja de ruta? Gracias de antemano.,solicitud_funcionalidad,alta,negativo,46,True
TCK-0061,2026-02-13T15:20,email,pro,57,La app móvil se cierra al abrir un proyecto,"La aplicación móvil se cierra sola al abrir cualquier proyecto. La he reinstalado y sigue igual. Quedo atento, un saludo.",bug_producto,media,neutro,319,False
TCK-0062,2026-04-26T15:33,email,business,48,Falta filtrar por etiquetas,"Echamos de menos poder filtrar el listado por etiquetas; ahora hay que buscar a mano entre cientos de elementos. Quedo atento, un saludo.",solicitud_funcionalidad,baja,neutro,2398,True
TCK-0063,2026-01-15T14:13,chat,free,36,Necesito revocar el acceso de un empleado,Han salido dos personas del equipo y necesito revocar sus accesos hoy mismo por política interna de seguridad. Sin prisa.,acceso_cuenta,baja,negativo,2814,True
TCK-0064,2026-03-08T02:36,chat,pro,14,Los gráficos no cargan en el panel,El panel principal se queda en blanco y la consola del navegador muestra un error de JavaScript. Afecta a 40 usuarios de mi equipo. Gracias de antemano.,bug_producto,media,neutro,453,True
TCK-0065,2026-02-25T23:34,email,pro,34,No me llega la factura de enero,"Hola, no he recibido la factura de enero y contabilidad me la está pidiendo para cerrar el trimestre. Mi cuenta es javier@nimbus.example. Quedo atento, un saludo.",facturacion,media,negativo,263,True
TCK-0066,2026-04-25T09:09,chat,free,21,Cobro duplicado en la factura de noviembre,"Buenas, revisando el extracto veo dos cargos de 29 € el mismo día de noviembre. Solo tengo una suscripción free. ¿Podéis devolver el duplicado?",facturacion,baja,neutro,1265,True
TCK-0067,2026-06-08T07:45,chat,enterprise,54,Me han cobrado 249 € de más,"En la última renovación se me ha cobrado 249 € por encima de lo que figura en el plan enterprise. Adjunto el justificante del cargo. Quedo atento, un saludo.",facturacion,critica,negativo,10,True
TCK-0068,2026-05-01T11:46,email,free,22,La exportación a CSV sale vacía,La exportación a CSV descarga un fichero de 0 bytes desde la actualización de mayo. Antes funcionaba correctamente.,bug_producto,alta,negativo,8,False
TCK-0069,2026-01-11T19:57,email,business,54,No me llega la factura de abril,"Hola, no he recibido la factura de abril y contabilidad me la está pidiendo para cerrar el trimestre. Mi cuenta es marta@acme.example.",facturacion,baja,neutro,1676,True
TCK-0070,2026-02-05T18:55,email,business,40,Rate limit inesperado en la API,"Estamos recibiendo 429 con muy pocas peticiones por minuto, muy por debajo del límite que anuncia nuestro plan business.",integraciones,alta,negativo,50,False
TCK-0071,2026-03-09T06:29,email,pro,58,Necesito revocar el acceso de un empleado,Han salido dos personas del equipo y necesito revocar sus accesos hoy mismo por política interna de seguridad. Sin prisa.,acceso_cuenta,alta,negativo,17,True
TCK-0072,2026-03-17T13:22,telefono,free,23,La exportación a CSV sale vacía,La exportación a CSV descarga un fichero de 0 bytes desde la actualización de abril. Antes funcionaba correctamente. Sin prisa.,bug_producto,alta,neutro,68,True
TCK-0073,2026-07-24T18:53,chat,free,8,Nos vendría bien una API de borrado masivo,Para cumplir con nuestra política de retención de datos necesitaríamos una llamada de borrado masivo por API. Tenemos una auditoría en curso y esto es crítico.,solicitud_funcionalidad,media,neutro,342,True
TCK-0074,2026-03-12T03:58,telefono,pro,1,Sincronización con Google Sheets parada,La sincronización con Google Sheets lleva 3 horas sin actualizar. La hoja destino sigue con los datos de antes.,integraciones,media,negativo,211,True
TCK-0075,2026-01-06T15:45,email,business,32,Usuario bloqueado tras varios intentos,Mi usuario se ha bloqueado tras varios intentos fallidos de inicio de sesión. ¿Podéis desbloquear nuria@delta-labs.example?,acceso_cuenta,alta,negativo,83,True
TCK-0076,2026-04-15T14:24,chat,free,46,Los gráficos no cargan en el panel,El panel principal se queda en blanco y la consola del navegador muestra un error de JavaScript. Afecta a 5 usuarios de mi equipo.,bug_producto,media,neutro,394,True
TCK-0077,2026-02-21T04:13,chat,pro,32,Necesito revocar el acceso de un empleado,"Han salido dos personas del equipo y necesito revocar sus accesos hoy mismo por política interna de seguridad. Quedo atento, un saludo.",acceso_cuenta,media,negativo,73,True
TCK-0078,2026-06-14T11:11,chat,business,52,Quiero cambiar la forma de pago,Quiero pasar de pago con tarjeta a domiciliación bancaria antes de la próxima renovación. ¿Qué necesitáis de mi parte?,facturacion,media,negativo,167,True
TCK-0079,2026-01-13T01:10,email,business,20,Se pierden los cambios al recargar,"Edito un informe, guardo, y al recargar la página los cambios han desaparecido. Me ha pasado 40 veces esta semana. Sin prisa.",bug_producto,alta,negativo,65,True
TCK-0080,2026-03-06T11:15,formulario,pro,25,El doble factor no me envía el código,"El SMS del segundo factor no llega desde hace 3 horas. Tengo una demo con un cliente y no puedo entrar en la plataforma. Es urgente, por favor. Llevamos todo el día parados.",acceso_cuenta,critica,negativo,3,True
TCK-0081,2026-01-18T15:54,chat,business,33,Las consultas tardan más de un minuto,"Las consultas que antes iban en segundos ahora superan el minuto de forma sistemática, sobre todo sobre rangos de fechas amplios.",rendimiento,alta,negativo,66,False
TCK-0082,2026-06-03T14:13,formulario,free,11,Cobro duplicado en la factura de marzo,"Buenas, revisando el extracto veo dos cargos de 29 € el mismo día de marzo. Solo tengo una suscripción free. ¿Podéis devolver el duplicado? Gracias de antemano.",facturacion,baja,neutro,2033,True
TCK-0083,2026-06-10T16:27,email,pro,7,La exportación a CSV sale vacía,La exportación a CSV descarga un fichero de 0 bytes desde la actualización de marzo. Antes funcionaba correctamente. Sin prisa.,bug_producto,alta,neutro,85,True
TCK-0084,2026-04-25T23:28,email,pro,7,Sincronización con Google Sheets parada,La sincronización con Google Sheets lleva 2 horas sin actualizar. La hoja destino sigue con los datos de antes.,integraciones,critica,negativo,8,True
TCK-0085,2026-05-27T07:31,formulario,pro,11,Usuario bloqueado tras varios intentos,Mi usuario se ha bloqueado tras varios intentos fallidos de inicio de sesión. ¿Podéis desbloquear pablo@acme.example?,acceso_cuenta,media,positivo,259,True
TCK-0086,2026-02-21T04:17,formulario,pro,52,El webhook deja de disparar eventos,Nuestro webhook a orbita.example dejó de recibir eventos hace 2 horas. No hemos cambiado nada del lado nuestro. Esto nos está bloqueando la operación y tenemos un cierre mañana.,integraciones,alta,negativo,57,False
TCK-0087,2026-06-23T02:45,chat,free,8,La app móvil se cierra al abrir un proyecto,La aplicación móvil se cierra sola al abrir cualquier proyecto. La he reinstalado y sigue igual.,bug_producto,baja,negativo,1890,True
TCK-0088,2026-04-03T20:13,email,pro,25,No puedo entrar en mi cuenta,Desde ayer no consigo iniciar sesión con pablo@orbita.example. Me dice credenciales incorrectas y el enlace de recuperación no llega ni a la bandeja de spam. Sin prisa.,acceso_cuenta,media,neutro,300,True
TCK-0089,2026-07-29T09:31,email,pro,39,El doble factor no me envía el código,El SMS del segundo factor no llega desde hace 3 horas. Tengo una demo con un cliente y no puedo entrar en la plataforma.,acceso_cuenta,alta,negativo,51,True
TCK-0090,2026-05-24T06:51,email,pro,57,Usuario bloqueado tras varios intentos,Mi usuario se ha bloqueado tras varios intentos fallidos de inicio de sesión. ¿Podéis desbloquear javier@delta-labs.example?,acceso_cuenta,critica,negativo,4,True
TCK-0091,2026-05-19T15:43,formulario,free,33,Necesito revocar el acceso de un empleado,Han salido dos personas del equipo y necesito revocar sus accesos hoy mismo por política interna de seguridad.,acceso_cuenta,media,negativo,236,True
TCK-0092,2026-05-05T16:34,chat,free,56,El doble factor no me envía el código,El SMS del segundo factor no llega desde hace 24 horas. Tengo una demo con un cliente y no puedo entrar en la plataforma. Tenemos una auditoría en curso y esto es crítico.,acceso_cuenta,media,neutro,172,True
TCK-0093,2026-07-29T20:30,email,pro,25,Quiero cambiar la forma de pago,Quiero pasar de pago con tarjeta a domiciliación bancaria antes de la próxima renovación. ¿Qué necesitáis de mi parte?,facturacion,media,negativo,173,True
TCK-0094,2026-03-29T04:12,email,business,44,¿Podéis añadir exportación a PDF?,"No es urgente, pero nos ahorraría mucho tiempo poder exportar los informes directamente a PDF sin pasar por el navegador.",solicitud_funcionalidad,baja,neutro,243,True
TCK-0095,2026-01-11T13:55,telefono,business,43,Consulta general sobre el plan,"Buenas, estamos valorando subir al plan business y quería saber qué incluye exactamente el soporte. Quedo atento, un saludo.",otros,baja,neutro,2813,True
TCK-0096,2026-07-03T03:54,chat,free,13,Duda sobre la documentación,"En la documentación no queda claro cómo se cuentan los usuarios activos. ¿Me lo podéis aclarar? Es urgente, por favor. Llevamos todo el día parados.",otros,baja,negativo,2119,True
TCK-0097,2026-03-21T11:43,formulario,pro,56,Sugerencia: alertas por Slack,"Sería genial recibir las alertas en Slack además de por correo. ¿Está en la hoja de ruta? Quedo atento, un saludo.",solicitud_funcionalidad,baja,neutro,1329,True
TCK-0098,2026-07-10T16:11,email,pro,33,Me han cobrado 99 € de más,En la última renovación se me ha cobrado 99 € por encima de lo que figura en el plan pro. Adjunto el justificante del cargo. Si no se resuelve hoy tendremos que valorar cancelar el contrato.,facturacion,media,negativo,21,True
TCK-0099,2026-04-19T07:02,chat,pro,37,Rate limit inesperado en la API,"Estamos recibiendo 429 con muy pocas peticiones por minuto, muy por debajo del límite que anuncia nuestro plan pro.",integraciones,alta,neutro,81,True
TCK-0100,2026-02-22T10:32,telefono,pro,4,Sincronización con Google Sheets parada,La sincronización con Google Sheets lleva 2 horas sin actualizar. La hoja destino sigue con los datos de antes.,integraciones,media,neutro,440,True
TCK-0101,2026-06-30T06:27,chat,free,12,El webhook deja de disparar eventos,Nuestro webhook a delta-labs.example dejó de recibir eventos hace 8 horas. No hemos cambiado nada del lado nuestro.,integraciones,baja,positivo,76,True
TCK-0102,2026-07-10T17:09,email,enterprise,19,Sincronización con Google Sheets parada,La sincronización con Google Sheets lleva 8 horas sin actualizar. La hoja destino sigue con los datos de antes. Sin prisa.,integraciones,media,neutro,85,True
TCK-0103,2026-01-12T03:06,email,business,2,Necesitamos firmar un DPA,Necesitamos firmar un acuerdo de tratamiento de datos antes de renovar el contrato del plan business. ¿A quién se lo pedimos?,datos_privacidad,media,negativo,124,True
TCK-0104,2026-06-07T01:35,email,enterprise,29,No me llega la factura de agosto,"Hola, no he recibido la factura de agosto y contabilidad me la está pidiendo para cerrar el trimestre. Mi cuenta es nuria@nimbus.example. Si no se resuelve hoy tendremos que valorar cancelar el contrato.",facturacion,alta,neutro,72,True
TCK-0105,2026-02-14T10:37,email,free,26,Quiero cambiar la forma de pago,"Quiero pasar de pago con tarjeta a domiciliación bancaria antes de la próxima renovación. ¿Qué necesitáis de mi parte? Quedo atento, un saludo.",facturacion,baja,neutro,948,True
TCK-0106,2026-03-04T18:11,email,pro,42,Exportación de todos mis datos personales,"Solicito una exportación completa de los datos personales asociados a javier@nimbus.example, en ejercicio del derecho de portabilidad. Es urgente, por favor. Llevamos todo el día parados.",datos_privacidad,critica,negativo,2,True
TCK-0107,2026-05-02T09:47,formulario,pro,31,Sincronización con Google Sheets parada,La sincronización con Google Sheets lleva 24 horas sin actualizar. La hoja destino sigue con los datos de antes.,integraciones,critica,negativo,12,False
TCK-0108,2026-04-25T04:41,chat,enterprise,9,Usuario bloqueado tras varios intentos,Mi usuario se ha bloqueado tras varios intentos fallidos de inicio de sesión. ¿Podéis desbloquear sofia@delta-labs.example?,acceso_cuenta,critica,negativo,18,True
TCK-0109,2026-04-13T00:35,telefono,business,44,Los gráficos no cargan en el panel,El panel principal se queda en blanco y la consola del navegador muestra un error de JavaScript. Afecta a 25 usuarios de mi equipo.,bug_producto,baja,neutro,832,True
TCK-0110,2026-07-02T01:21,chat,free,23,Necesitamos firmar un DPA,Necesitamos firmar un acuerdo de tratamiento de datos antes de renovar el contrato del plan free. ¿A quién se lo pedimos? Sin prisa.,datos_privacidad,baja,neutro,171,True
TCK-0111,2026-04-23T11:35,email,business,55,Se pierden los cambios al recargar,"Edito un informe, guardo, y al recargar la página los cambios han desaparecido. Me ha pasado 40 veces esta semana. Esto nos está bloqueando la operación y tenemos un cierre mañana.",bug_producto,alta,negativo,29,True
TCK-0112,2026-01-27T21:27,formulario,business,35,Posible acceso no autorizado a nuestra cuenta,Hemos detectado accesos desde una IP que no reconocemos. Necesitamos el registro de auditoría de las últimas 24 horas.,datos_privacidad,media,neutro,450,True
TCK-0113,2026-07-14T01:21,formulario,free,40,El doble factor no me envía el código,El SMS del segundo factor no llega desde hace 5 horas. Tengo una demo con un cliente y no puedo entrar en la plataforma. Sin prisa.,acceso_cuenta,baja,positivo,2203,True
TCK-0114,2026-01-07T05:00,chat,business,6,No me llega la factura de junio,"Hola, no he recibido la factura de junio y contabilidad me la está pidiendo para cerrar el trimestre. Mi cuenta es sofia@nimbus.example. Sin prisa.",facturacion,media,neutro,415,True
TCK-0115,2026-05-03T13:15,email,pro,56,Quiero cambiar la forma de pago,"Quiero pasar de pago con tarjeta a domiciliación bancaria antes de la próxima renovación. ¿Qué necesitáis de mi parte? Es urgente, por favor. Llevamos todo el día parados.",facturacion,media,negativo,475,True
TCK-0116,2026-05-21T10:51,email,pro,28,Cobro duplicado en la factura de junio,"Buenas, revisando el extracto veo dos cargos de 99 € el mismo día de junio. Solo tengo una suscripción pro. ¿Podéis devolver el duplicado?",facturacion,media,negativo,437,True
TCK-0117,2026-05-03T09:03,formulario,free,30,Error 500 al guardar un informe,"Al pulsar Guardar en un informe me devuelve un error 500. Pasa siempre, en Chrome y en Firefox. El identificador de la petición es req_137543987. Si no se resuelve hoy tendremos que valorar cancelar el contrato.",bug_producto,alta,negativo,53,True
TCK-0118,2026-03-18T03:47,formulario,free,37,Perdí acceso al correo de recuperación,El correo de recuperación de mi cuenta es una dirección antigua a la que ya no tengo acceso. ¿Cómo puedo recuperar la cuenta sofia@orbita.example?,acceso_cuenta,media,neutro,187,False
